#,Yogasana Name,IAST Name,2001 Edition Page,Intensity,Intermediate Plate,Final Asana Plate,Note,2015 Edition Page,Formatted Description,Pranayama Description,Pranayama Cautions,Pranayama Effects,Variation
1,Samsthiti,Samsthiti,61,1,,1,nan; Alternate names: Tadasana,39,"1 / Tadasana
Tada means a mountain. Sama means upright, straight, unmoved. Sthiti is standing still, steadiness. Tadasana therefore implies a pose where one stands firm and erect as a mountain. This is the basic standing pose. Technique: 1. Stand erect with the feet together, the heels and big toes touching each other. Rest the metatarsals on the floor and stretch all the toes flat. 2. Tighten the knees and pull the knee-caps up, contract the hips and pull up the muscles at the back of the thighs. 3. Keep the stomach in, chest forward, spine stretched up and the neck straight. 4. Do not bear the weight of the body either on the heels or the toes, but distribute it evenly on them both. 5. Ideally in Tadasana the arms are stretched over the head, but for convenience, one can keep them by the side of the thighs.

Improves standing posture, increases spinal elasticity, firms hips and abdomen, develops mental agility.",,,,
2,Vrksasana,Vṛkṣāsana,62,1,,2,,41,"2 / Vrksasana
Vrksa means a tree. Technique: 1. Stand in Tadasana. 2. Bend the right leg at the knee and place the right heel at the root of the left thigh. Rest the foot on the left thigh, toes pointing downwards. 3. Balance on the left leg. 4. Join the palms and raise the arms straight over the head. 5. Stay in the pose for a few seconds with deep breathing. Then lower the arms and straighten the right leg and stand again in Tadasana. 6. Repeat the pose by balancing on the right leg and placing the left heel at the root of the right thigh.

Tones leg muscles and develops balance.
",,,,
3,Uttihita Trikonasana,Utthita Trikoṇāsana,63,3,3,4-5,,42,"3 / Uttihita Trikonasana
Utthita means extended, trikona a triangle. This is the extended triangle pose. Technique: 1. Stand in Tadasana. 2. Inhale deeply and with a jump spread the legs apart sideways 3 to 3.5 feet. Raise the arms sideways, in line with the shoulders, palms facing down. 3. Turn the right foot sideways 90 degrees to the right. Turn the left foot slightly to the right, keeping the left leg stretched from the inside and tightened at the knee. 4. Exhale, bend the trunk sideways to the right, bringing the right palm near the right ankle. If possible, the right palm should rest completely on the floor. 5. Stretch the left arm up, bringing it in line with the right arm and shoulders. Gaze at the thumb of the extended left hand. 6. Stay in this position from half a minute to a minute, breathing deeply and evenly. Then inhale and return to position 2. 7. Repeat on the left side.
1. Stand in Tadasana. 2. Inhale deeply and with a jump spread the legs apart sideways 3 to 3.5 feet. Raise the arms sideways, in line with the shoulders, palms facing down. 3. Turn the right foot sideways 90 degrees to the right. Turn the left foot slightly to the right, keeping the left leg stretched from the inside and tightened at the knee. 4. Exhale, bend the trunk sideways to the right, bringing the right palm near the right ankle. If possible, the right palm should rest completely on the floor. 5. Stretch the left arm up, bringing it in line with the right arm and shoulders. Gaze at the thumb of the extended left hand. 6. Stay in this position from half a minute to a minute, breathing deeply and evenly. Then inhale and return to position 2. 7. Repeat on the left side.
Relieves backaches, tones legs, develops chest.
",,,,
4,Parivrtta Trikonasana,Parivṛtta Trikoṇāsana,64,5,,6-7,,43,"4 / Parivrtta Trikonasana
Parivrtta means revolved. Technique: 1. Stand in Tadasana. With a jump, spread the legs apart sideways 3 to 3.5 feet. 2. Turn the right foot 90 degrees and the left foot 60 degrees to the right. 3. Exhale, rotate the trunk in the opposite direction (to the right) so that the left palm rests on the floor on the outer side of the right foot. 4. Stretch the right arm up, keeping it in line with the left. Gaze at the right thumb. 5. Stay for 30 seconds with normal breathing.
1. Stand in Tadasana. With a jump, spread the legs apart sideways 3 to 3.5 feet. 2. Turn the right foot 90 degrees and the left foot 60 degrees to the right. 3. Exhale, rotate the trunk in the opposite direction (to the right) so that the left palm rests on the floor on the outer side of the right foot. 4. Stretch the right arm up, keeping it in line with the left. Gaze at the right thumb. 5. Stay for 30 seconds with normal breathing.
Increases blood supply to lower spine, expansion of chest.
",,,,
5,Uttihita Parsvakonasana,Utthita Pārśvakoṇāsana,66,4,,8-9,,45,"5 / Uttihita Parsvakonasana
Parsva means side, kona an angle. Extended lateral angle pose. Technique: 1. From Tadasana, jump legs 4 to 4.5 feet apart. 2. Turn the right foot 90 degrees right. Bend the right knee until the thigh is parallel to the floor and the shin is perpendicular. 3. Place the right palm on the floor by the outer side of the right foot. 4. Stretch the left arm over the left ear. Keep the chest, hips, and legs in one line. 5. Stay 30 to 60 seconds. Repeat on the other side.
1. From Tadasana, jump legs 4 to 4.5 feet apart. 2. Turn the right foot 90 degrees right. Bend the right knee until the thigh is parallel to the floor and the shin is perpendicular. 3. Place the right palm on the floor by the outer side of the right foot. 4. Stretch the left arm over the left ear. Keep the chest, hips, and legs in one line. 5. Stay 30 to 60 seconds. Repeat on the other side.
Reduces fat at waist, aids digestion, tones knees and thighs.
",,,,
6,Parivrtta Parsvakonasana,Parivṛtta Pārśvakoṇāsana,68,8,,10-11,,46,"6 / Parivrtta Parsvakonasana
Revolved lateral angle pose. Technique: 1. From Tadasana, jump legs 4 to 4.5 feet apart. 2. Bend the right knee to 90 degrees. Exhale and rotate the trunk to the right, placing the left armpit over the outer right knee. Place the left palm on the floor. 3. Stretch the right arm over the right ear. Twist the spine and gaze up.
1. From Tadasana, jump legs 4 to 4.5 feet apart. 2. Bend the right knee to 90 degrees. Exhale and rotate the trunk to the right, placing the left armpit over the outer right knee. Place the left palm on the floor. 3. Stretch the right arm over the right ear. Twist the spine and gaze up.
Rejuvenates spine and abdominal organs, aids colon waste removal.
",,,,
7,Virabhadrasana I,Vīrabhadrāsana I,69,3,12-13,14,,48,"7 / Virabhadrasana I
Dedicated to the hero Virabhadra. Technique: 1. Stand in Tadasana. Raise the arms over the head; join the palms. 2. Jump the legs 4 to 4.5 feet apart. 3. Turn to the right. Bend the right knee to a right angle. The left leg should be stretched and the knee kept locked. 4. Head up, gaze at the joined palms. Stay 20 to 30 seconds. Repeat on the left.
1. Stand in Tadasana. Raise the arms over the head; join the palms. 2. Jump the legs 4 to 4.5 feet apart. 3. Turn to the right. Bend the right knee to a right angle. The left leg should be stretched and the knee kept locked. 4. Head up, gaze at the joined palms. Stay 20 to 30 seconds. Repeat on the left.
Relieves shoulder/neck stiffness, tones ankles/knees.
",,,,
8,Virabhadrasana II,Vīrabhadrāsana II,72,1,,15,,49,"8 / Virabhadrasana II
Technique: 1. Stand in Tadasana. Jump legs 4 to 4.5 feet apart. 2. Stretch arms sideways. 3. Turn right foot 90 degrees right. Bend right knee to 90 degrees. 4. Turn the face right and gaze at the right palm. Stay 20 to 30 seconds.
1. Stand in Tadasana. Jump legs 4 to 4.5 feet apart. 2. Stretch arms sideways. 3. Turn right foot 90 degrees right. Bend right knee to 90 degrees. 4. Turn the face right and gaze at the right palm. Stay 20 to 30 seconds.
Relieves leg cramps, brings elasticity to back.
",,,,
9,Virabhadrasana III,Vīrabhadrāsana III,73,5,16,17,,50,"9 / Virabhadrasana III
Technique: 1. Stand in Virabhadrasana I on the right side. 2. Exhale, bend the trunk forward and rest the chest on the right thigh. 3. Simultaneously lift the left leg and straighten the right leg. The body and left leg should be parallel to the floor. 4. Stay 20 seconds.
1. Stand in Virabhadrasana I on the right side. 2. Exhale, bend the trunk forward and rest the chest on the right thigh. 3. Simultaneously lift the left leg and straighten the right leg. The body and left leg should be parallel to the floor. 4. Stay 20 seconds.
Develops harmony and poise, provides vigor for runners.
",,,,
10,Ardha Chandrasana,Ardha Chandrāsana,74,5,18,19,,52,"10 / Ardha Chandrasana
Ardha means half, Chandra the moon. Technique: 1. Perform Utthita Trikonasana on the right side. 2. Place the right hand on the floor about a foot in front of the right foot. 3. Raise the left leg until it is parallel to the floor. Turn the chest to the left and balance. Stay 20 to 30 seconds.
1. Perform Utthita Trikonasana on the right side. 2. Place the right hand on the floor about a foot in front of the right foot. 3. Raise the left leg until it is parallel to the floor. Turn the chest to the left and balance. Stay 20 to 30 seconds.
Stronger knees, cures gastric troubles, tones lower spine.
",,,,
11,Uttithita Padangusthasana,Utthita Pādāṅguṣṭhāsana,76,16,20-22,23,,54,"11 / Uttithita Padangusthasana
Technique: 1. Stand in Tadasana. 2. Exhale, raise the right leg and catch the big toe with the right hand. 3. Stretch the leg forward and pull it up as high as possible. 4. Stay 20 seconds.
1. Stand in Tadasana. 2. Exhale, raise the right leg and catch the big toe with the right hand. 3. Stretch the leg forward and pull it up as high as possible. 4. Stay 20 seconds.
Makes leg muscles powerful, develops poise.
",,,,
12,Parsvottanasana,Pārśvōttānāsana,78,6,24-25,26-28,,56,"12 / Parsvottanasana
Technique: 1. Stand in Tadasana. Join the palms in Namaste behind the back. 2. Jump legs 3 to 3.5 feet apart. 3. Turn to the right. Exhale, bend forward and rest the head on the right knee. 4. Stay 20 to 30 seconds.
1. Stand in Tadasana. Join the palms in Namaste behind the back. 2. Jump legs 3 to 3.5 feet apart. 3. Turn to the right. Exhale, bend forward and rest the head on the right knee. 4. Stay 20 to 30 seconds.
Elasticizes hip joints and spine, tones abdominal organs.
",,,,
13,Prasarita Padotanasana I,Prasārita Pādottānāsana I,81,4,29-32,33-34,,58,"13 / Prasarita Padotanasana I
Technique: 1. From Tadasana, hands on waist, jump legs 4.5 to 5 feet apart. 2. Exhale, place palms on the floor between the feet. 3. Inhale, make the back concave. 4. Exhale, rest the crown of the head on the floor.
1. From Tadasana, hands on waist, jump legs 4.5 to 5 feet apart. 2. Exhale, place palms on the floor between the feet. 3. Inhale, make the back concave. 4. Exhale, rest the crown of the head on the floor.
Brings blood to brain, increases digestive power.
",,,,
14,Prasarita Padotanasana II,Prasārita Pādottānāsana II,84,4,,35-36,,59,"14 / Prasarita Padotanasana II
This is an advanced movement of the earlier pose. Here the hands are placed on the waist instead of on the floor (Image 35), or are folded at the back as if one is doing ‘namaste’ behind the back (Image 36) as described intensified. Effects: In this pose the hamstring and abductor muscles are fully developed, while blood is made to flow to the trunk and the head. People who cannot do Sirsasana (Image 184) can benefit from this pose, which increases digestive powers.
No technique steps provided.
Fully develops hamstrings, beneficial for those who cannot do headstands.
",,,,
15,Parighasana,Parighāsana,85,4,37-38,39,,60,"15 / Parighasana
Parigha means a beam or bar used for shutting a gate. In this posture, the body resembles a cross beam used for locking a gate, hence the name of the pose. Technique: 1. Kneel on the floor with the ankles together. 2. Stretch the right leg sideways to the right and keep it in line with the trunk and the left knee. Turn the right foot sideways to the right, keeping the right leg stiff at the knee. 3. Extend the arms sideways with an inhalation. (Image 37.) Take two breaths. 4. Exhale, move the trunk and right arm down towards the extended right leg. (Image 38.) Rest the right forearm and wrist on the right shin and ankle respectively, the right palm facing up. The right ear will then rest on the right upper arm. Move the left arm over the head and touch the right palm with the left. The left ear will then touch the left upper arm. (Image 39) 5. Stay in this position from 30 to 60 seconds, breathing normally. 6. Inhale, move the trunk and arms back to position 3. Bend the right leg and kneel on the floor, keeping the ankles together again. 7. Repeat the pose on the other side, substituting right for left and vice versa. Stay in the pose on both the sides for the same time. Effects: In this posture the pelvic region is stretched. One side of the abdomen is extended while the other side is laterally flexed. This keeps the abdominal muscles and organs in condition and the skin around the abdomen will not sag but remain healthy. The sideways spinal movement will help persons suffering from stiff backs.
1. Kneel on the floor with the ankles together. 2. Stretch the right leg sideways to the right and keep it in line with the trunk and the left knee. Turn the right foot sideways to the right, keeping the right leg stiff at the knee. 3. Extend the arms sideways with an inhalation. (Image 37.) Take two breaths. 4. Exhale, move the trunk and right arm down towards the extended right leg. (Image 38.) Rest the right forearm and wrist on the right shin and ankle respectively, the right palm facing up. The right ear will then rest on the right upper arm. Move the left arm over the head and touch the right palm with the left. The left ear will then touch the left upper arm. (Image 39) 5. Stay in this position from 30 to 60 seconds, breathing normally. 6. Inhale, move the trunk and arms back to position 3. Bend the right leg and kneel on the floor, keeping the ankles together again. 7. Repeat the pose on the other side, substituting right for left and vice versa. Stay in the pose on both the sides for the same time. Effects: In this posture the pelvic region is stretched. One side of the abdomen is extended while the other side is laterally flexed. This keeps the abdominal muscles and organs in condition and the skin around the abdomen will not sag but remain healthy. The sideways spinal movement will help persons suffering from stiff backs.
Stretches pelvic region, prevents skin sagging around abdomen.
",,,,
16,Ustrasana,Uṣṭrasana,87,3,40,41,,61,"16 / Ustrasana
Ustra means a camel. Technique: 1. Kneel on the floor, keeping the thighs and feet together, toes pointing back and resting on the floor. 2. Rest the palms on the hips. Stretch the thighs, curve the spine back and extend the ribs. (Image 40) 3. Exhale, place the right palm over the right heel and the left palm over the left heel. If possible, place the palms on the soles of the feet. 4. Press the feet with the palms, throw the head back and push the spine towards the thighs, which should be kept perpendicular to the floor. 5. Contract the buttocks and stretch the dorsal and the coccyx regions of the spine still further, keeping the neck stretched back. (Image 41) 6. Remain in this position for about half a minute with normal breathing. 7. Release the hands one by one and rest them on the hips. (Image 40.) Then sit on the floor and relax. Effects: People with drooping shoulders and hunched backs will benefit by this asana. The whole spine is stretched back and is toned. This pose can be tried conveniently by the elderly and even by persons with spinal injury.
1. Kneel on the floor, keeping the thighs and feet together, toes pointing back and resting on the floor. 2. Rest the palms on the hips. Stretch the thighs, curve the spine back and extend the ribs. (Image 40) 3. Exhale, place the right palm over the right heel and the left palm over the left heel. If possible, place the palms on the soles of the feet. 4. Press the feet with the palms, throw the head back and push the spine towards the thighs, which should be kept perpendicular to the floor. 5. Contract the buttocks and stretch the dorsal and the coccyx regions of the spine still further, keeping the neck stretched back. (Image 41) 6. Remain in this position for about half a minute with normal breathing. 7. Release the hands one by one and rest them on the hips. (Image 40.) Then sit on the floor and relax. Effects: People with drooping shoulders and hunched backs will benefit by this asana. The whole spine is stretched back and is toned. This pose can be tried conveniently by the elderly and even by persons with spinal injury.
Tones spine, beneficial for drooping shoulders and hunched backs.
",,,,
17,Utkatasana,Utkaṭāsana,88,2,,42,,62,"17 / Utkatasana
Utkata means powerful, fierce, uneven. This asana is like sitting on an imaginary chair. Technique: 1. Stand in Tadasana (Image 1), stretch the arms straight over the head and join the palms. (Image 12) 2. Exhale, bend the knees and lower the trunk till the thighs are parallel to the floor. (Image 42) 3. Do not stoop forward, but keep the chest as far back as possible and breathe normally. 4. Stay in the pose for a few seconds, 30 being sufficient. It is difficult to balance in this pose. 5. Inhale, straighten the legs (Image 12), lower the arms, come back to Tadasana (Image 1) and relax. Effects: The pose removes stiffness in the shoulders and corrects any minor deformities in the legs. The ankles become strong and the leg muscles develop evenly. The diaphragm is lifted up and this gives a gentle massage to the heart. The abdominal organs and the back are toned, and the chest is developed by being fully expanded. It is a beneficial pose for horsemen.
1. Stand in Tadasana (Image 1), stretch the arms straight over the head and join the palms. (Image 12) 2. Exhale, bend the knees and lower the trunk till the thighs are parallel to the floor. (Image 42) 3. Do not stoop forward, but keep the chest as far back as possible and breathe normally. 4. Stay in the pose for a few seconds, 30 being sufficient. It is difficult to balance in this pose. 5. Inhale, straighten the legs (Image 12), lower the arms, come back to Tadasana (Image 1) and relax. Effects: The pose removes stiffness in the shoulders and corrects any minor deformities in the legs. The ankles become strong and the leg muscles develop evenly. The diaphragm is lifted up and this gives a gentle massage to the heart. The abdominal organs and the back are toned, and the chest is developed by being fully expanded. It is a beneficial pose for horsemen.
Strengthens ankles, massages the heart via diaphragm.
",,,,
